Term	g	Prefix	Level (cm-1)	Suffix
"2S"	2	""	"0.00"	""	
"2P*"	2	""	"35669.31"	""	
"2P*"	4	""	"35760.88"	""	
"2S"	2	""	"69804.95"	""	
"2D"	6	""	"71490.19"	""	
"2D"	4	""	"71491.06"	""	
"2P*"	2	""	"80619.50"	""	
"2P*"	4	""	"80650.02"	""	
"2S"	2	""	"92790.51"	""	
"2D"	6	""	"93310.59"	""	
"2D"	4	""	"93311.11"	""	
"2F*"	6	""	"93799.63"	""	
"2F*"	8	""	"93799.75"	""	
"2P*"	2	""	"97455.12"	""	
"2P*"	4	""	"97468.92"	""	
"2S"	2	""	"103196.75"	""	
"2D"	6	""	"103419.70"	""	
"2D"	4	""	"103420.00"	""	
"2F*"	6	""	"103689.86"	""	
"2F*"	8	""	"103689.92"	""	
"2G"	8	""	"103705.66"	""	
"2G"	10	""	"103705.66"	""	
"2P*"	2	""	"105622.34"	""	
"2P*"	4	""	"105629.72"	""	
"2S"	2	""	"108784.33"	""	
"2D"	6	""	"108900.02"	""	
"2D"	4	""	"108900.20"	""	
"2F*"	6	""	"109062.32"	""	
"2F*"	8	""	"109062.35"	""	
"2G"	8	""	"109072.05"	""	
"2G"	10	""	"109072.05"	""	
"2H*"	10	""	"109073.97"	""	
"2H*"	12	""	"109073.97"	""	
"2P*"	2	""	"110203.58"	""	
"2P*"	4	""	"110207.99"	""	
"2S"	2	""	"112129.20"	""	
"2D"	6	""	"112197.05"	""	
"2D"	4	""	"112197.17"	""	
"2F*"	6	""	"112301.47"	""	
"2F*"	8	""	"112301.47"	""	
"2G"	8	""	"112307.79"	""	
"2G"	10	""	"112307.79"	""	
"2H*"	10	""	"112309.06"	""	
"2H*"	12	""	"112309.06"	""	
"2I"	10	""	"112309.45"	""	
"2P*"	2	""	"113030.25"	""	
"2P*"	4	""	"113033.09"	""	
"2S"	2	""	"114289.36"	""	
"2D"	6	""	"114332.68"	""	
"2D"	4	""	"114332.74"	""	
"2F*"	6	""	"114403.55"	""	
"2F*"	8	""	"114403.55"	""	
"2G"	8	""	"114407.88"	""	
"2G"	10	""	"114407.88"	""	
"2H*"	10	""	"114408.74"	""	
"2H*"	12	""	"114408.74"	""	
"2I"	10	""	"114409.02"	""	
"2P*"	2	""	"114896.79"	""	
"2P*"	4	""	"114898.72"	""	
"2S"	2	""	"115764.99"	""	
"2D"	6	""	"115794.39"	""	
"2D"	4	""	"115794.44"	""	
"2F*"	6	""	"115844.60"	""	
"2F*"	8	""	"115844.60"	""	
"2G"	8	""	"115847.67"	""	
"2G"	10	""	"115847.67"	""	
"2H*"	10	""	"115848.28"	""	
"2H*"	12	""	"115848.28"	""	
"2I"	10	""	"115848.51"	""	
"2P*"	2	"["	"116193.7"	"]"	
"2P*"	4	"["	"116195.1"	"]"	
"2D"	6	""	"116838.45"	""	
"2D"	4	""	"116838.48"	""	
"2F*"	6	""	"116875.25"	""	
"2F*"	8	""	"116875.25"	""	
"2G"	8	""	"116877.54"	""	
"2G"	10	""	"116877.54"	""	
"2H*"	10	""	"116878.04"	""	
"2H*"	12	""	"116878.04"	""	
"2I"	10	""	"116878.13"	""	
"2G"	8	""	"117639.51"	""	
"2G"	10	""	"117639.51"	""	
"Limit"		""	"121267.64"	""	
"2P*"	4	""	"402590"	""	
"2P*"	2	""	"404510"	""	
"4S"	4	""	"428957"	""	
"4D"	8	""	"434090"	""	
"4D"	6	""	"434633"	""	
"4D"	4	""	"435190"	""	
""		""	"435200"	""	
"4D"	2	""	"435640"	""	
"4P"	6	""	"437570"	""	
"4P"	4	""	"438167"	""	
""		""	"439300"	""	
"2D"	6	""	"439540"	""	
""		""	"440200"	""	
"2P"	4	""	"441330"	""	
""		""	"445100"	""	
""		""	"457300"	""	
""		""	"458500"	""	
"2P"	4	""	"459800"	"?"	
""		""	"460100"	""	
"2S"	2	""	"464930"	"?"	
"2P*"	2	""	"477490"	""	
"2P*"	4	""	"478260"	""	
"4P*"	6	""	"483373"	""	
"4D*"	8	""	"486856"	""	
"4P*"	6	""	"487205"	""	
"4D*"	6	""	"488343"	""	
"4F*"	10	""	"489383"	""	
"4P*"	6	""	"489440"	""	
"2P*"	2	""	"491330"	""	
"2P*"	4	""	"491590"	""	
"*"	4	""	"492760"	""	
"2P*"	2	""	"493800"	""	
"2P*"	4	""	"494390"	""	
"2P*"	2	""	"495050"	""	
"2P*"	2	""	"501730"	""	
"2P*"	4	""	"505780"	""	
"*"	2	""	"516420"	""	
"*"	2	""	"517060"	""	
"*"	2	""	"517300"	""	
"*"	2	""	"517890"	""	
"*"	2	""	"518560"	""	
"*"	2	""	"519350"	""	
"*"	2	""	"519750"	""	
"*"	2	""	"521780"	""	
"*"	2	""	"522030"	""	
"*"	2	""	"522740"	""	
"*"	2	""	"528070"	""	
"*"	2	""	"528460"	""	
"*"	2	""	"529070"	""	
"*"	2	""	"529350"	""	
"*"	2	""	"530390"	""	
"*"	2	""	"533670"	""	
"*"	2	""	"534220"	""	
"*"	2	""	"535220"	""	
"*"	2	""	"536280"	""	
"*"	2	""	"537690"	""	
"*"	2	""	"538820"	""	
"*"	2	""	"539780"	""	
"*"	2	""	"541100"	""	
"*"	2	""	"541480"	""	
"*"	2	""	"542560"	""	
"*"	2	""	"543210"	""	
"Limit"		""	"546908"	""	
"Limit"		""	"548136"	""	
"Limit"		""	"549120"	""	
"Limit"		""	"552798"	""	
