Term	g	Prefix	Level (cm-1)	Suffix
"1S"	1	""	"0"	""	
"3P*"	5	""	"425640.3"	""	
"3P*"	3	""	"426868.1"	""	
"3P*"	1	""	"427852.1"	""	
"1P*"	3	""	"431530.0"	""	
"3S"	3	""	"467378.5"	""	
"3D"	7	""	"474053.2"	""	
"3D"	5	""	"474655.0"	""	
"3D"	3	""	"475502.9"	""	
"1D"	5	""	"477435.7"	""	
"1P"	3	""	"478374.5"	""	
"3P"	5	""	"478846.1"	""	
"3P"	1	""	"479265.3"	""	
"3P"	3	""	"479456.0"	""	
"1S"	1	""	"496012.1"	""	
"3P*"	1	""	"530178.2"	""	
"3P*"	3	""	"530420.6"	""	
"3P*"	5	""	"530962.9"	""	
"3F*"	9	""	"531563.0"	""	
"3F*"	7	""	"531833.1"	""	
"3F*"	5	""	"532725.7"	""	
"1F*"	7	""	"532971.2"	""	
"3D*"	3	""	"534197.7"	""	
"1D*"	5	""	"534776.9"	""	
"3D*"	7	""	"534923.6"	""	
"3D*"	5	""	"535179.6"	""	
"1P*"	3	""	"536152.0"	""	
"2[3/2]*"	5	""	"545820.4"	""	
"2[3/2]*"	3	""	"546531.6"	""	
"2[1/2]*"	1	""	"548034.4"	""	
"2[1/2]*"	3	""	"548720.7"	""	
"2[1/2]"	3	""	"559987.1"	""	
"2[5/2]"	7	""	"561798.7"	""	
"2[5/2]"	5	""	"562136.1"	""	
"2[3/2]"	3	""	"562634.2"	""	
"2[3/2]"	5	""	"562939.5"	""	
"2[3/2]"	3	""	"564289.8"	""	
"2[1/2]"	1	""	"564300.0"	""	
"2[3/2]"	5	""	"564664.6"	""	
"2[1/2]"	3	""	"564731.6"	""	
"2[1/2]"	1	""	"570112.8"	""	
"2[1/2]*"	1	""	"581567.5"	""	
"2[1/2]*"	3	""	"581734.7"	""	
"2[3/2]*"	5	""	"582074.4"	""	
"2[7/2]*"	9	""	"582134.8"	""	
"2[7/2]*"	7	""	"582290.1"	""	
"2[5/2]*"	5	""	"582747.3"	""	
"2[5/2]*"	7	""	"582839.7"	""	
"2[3/2]*"	3	""	"583450.5"	""	
"2[3/2]"	3	""	"584345.7"	""	
"2[3/2]"	5	""	"584354.1"	""	
"2[9/2]"	11	""	"584462.4"	""	
"2[9/2]"	9	""	"584463.5"	""	
"2[5/2]"	7	""	"584563.9"	""	
"2[5/2]"	5	""	"584571.1"	""	
"2[5/2]*"	5	""	"584628.5"	""	
"2[7/2]"	7	""	"584687.9"	""	
"2[7/2]"	9	""	"584689.2"	""	
"2[5/2]*"	7	""	"584733.4"	""	
"2[3/2]*"	5	""	"584737.9"	""	
"2[3/2]*"	3	""	"585466.2"	""	
"2[7/2]"	7	""	"586777.9"	""	
"2[7/2]"	9	""	"586779.5"	""	
"2[5/2]"	7	""	"586785.1"	""	
"2[5/2]"	5	""	"586791.6"	""	
"2[3/2]*"	5	""	"588768.9"	""	
"2[3/2]*"	3	""	"589126.8"	""	
"2[1/2]*"	1	""	"590984.2"	""	
"2[1/2]*"	3	""	"591220.7"	""	
"2[1/2]*"	3	""	"605356"	""	
"2[3/2]*"	3	""	"606248"	""	
"2[3/2]"	3	""	"606713.1"	""	
"2[3/2]"	5	""	"606719.4"	""	
"2[9/2]"	11	""	"606774.5"	""	
"2[9/2]"	9	""	"606775.4"	""	
"2[5/2]"	7	""	"606830.7"	""	
"2[5/2]"	5	""	"606834.7"	""	
"2[5/2]*"	7	""	"606841.9"	""	
"2[5/2]*"	5	""	"606841.9"	""	
"2[11/2]*"	13	""	"606861.0"	""	
"2[11/2]*"	11	""	"606861.0"	""	
"2[7/2]"	7	""	"606891.1"	""	
"2[7/2]"	9	""	"606891.8"	""	
"2[7/2]*"	9	""	"606896.8"	""	
"2[7/2]*"	7	""	"606896.8"	""	
"2[9/2]*"	11	""	"606916.6"	""	
"2[9/2]*"	9	""	"606916.6"	""	
"2[3/2]*"	3	""	"608295"	""	
"2[5/2]"	7	""	"609045.2"	""	
"2[7/2]"	7	""	"609045.4"	""	
"2[7/2]"	9	""	"609045.7"	""	
"2[5/2]"	5	""	"609050.5"	""	
"2[9/2]*"	11	""	"609111.4"	""	
"2[9/2]*"	9	""	"609111.4"	""	
"2[7/2]*"	9	""	"609111.6"	""	
"2[7/2]*"	7	""	"609111.6"	""	
"2[3/2]*"	3	""	"609262"	""	
"2[1/2]*"	3	""	"611389"	""	
"2[3/2]*"	3	""	"618601"	""	
"2[3/2]*"	3	""	"620702"	""	
"2[3/2]*"	3	""	"626013"	""	
"2[3/2]*"	3	""	"628149"	""	
"2[3/2]*"	3	""	"630827"	""	
"2[3/2]*"	3	""	"632988"	""	
"2[3/2]*"	3	""	"634111"	""	
"Limit"		""	"646402"	""	
"Limit"		""	"648631"	""	
"1P*"	3	""	"790500"	""	
"1P*"	3	""	"874700"	""	
"1P*"	3	""	"908000"	""	
"1P*"	3	""	"925200"	""	
"1P*"	3	""	"934700"	""	
"1P*"	3	""	"940700"	""	
"Limit"		""	"957934"	""	
