Term	g	Prefix	Level (cm-1)	Suffix
"3D"	5	"["	"61097.27"	"]"	
"3D"	7	"["	"61097.27"	"]"	
"3F*"	5	"["	"61107.05"	"]"	
"3F*"	7	"["	"61107.05"	"]"	
"3F*"	9	"["	"61107.05"	"]"	
"1F*"	7	"["	"61107.05"	"]"	
"1P*"	3	""	"61107.34"	""	
"1D"	5	""	"61142.1"	""	
"3F*"	5	"["	"61179.97"	"]"	
"3F*"	7	"["	"61179.97"	"]"	
"3F*"	9	"["	"61179.97"	"]"	
"1F*"	7	"["	"61179.97"	"]"	
"1P*"	3	""	"61180.24"	""	
"1D"	5	""	"61208.2"	""	
"1P*"	3	""	"61239.83"	""	
"1D"	5	""	"61262.9"	""	
"1P*"	3	""	"61289.19"	""	
"1D"	5	""	"61308.4"	""	
"1P*"	3	""	"61330.55"	""	
"1D"	5	""	"61346.7"	""	
"1P*"	3	""	"61365.55"	""	
"1D"	5	""	"61379.2"	""	
"1P*"	3	""	"61395.43"	""	
"1D"	5	""	"61407"	""	
"1P*"	3	""	"61421.14"	""	
"1D"	5	""	"61432"	""	
"1P*"	3	""	"61443.41"	""	
"1D"	5	""	"61452"	""	
"1P*"	3	""	"61462.82"	""	
"1D"	5	""	"61471"	""	
"1P*"	3	""	"61479.87"	""	
"1D"	5	""	"61487"	""	
"1P*"	3	""	"61494.90"	""	
"1P*"	3	""	"61508.24"	""	
"1P*"	3	""	"61520.12"	""	
"1P*"	3	""	"61530.73"	""	
"1P*"	3	""	"61540.26"	""	
"1P*"	3	""	"61548.81"	""	
"1P*"	3	""	"61556.63"	""	
"1P*"	3	""	"61563.68"	""	
"1P*"	3	""	"61570.11"	""	
"1P*"	3	""	"61575.99"	""	
"1P*"	3	""	"61581.34"	""	
"1P*"	3	""	"61586.33"	""	
"1P*"	3	""	"61590.82"	""	
"1P*"	3	""	"61595.02"	""	
"1P*"	3	""	"61598.87"	""	
"1P*"	3	""	"61602.44"	""	
"1P*"	3	""	"61605.74"	""	
"1P*"	3	""	"61608.86"	""	
"1P*"	3	""	"61611.67"	""	
"1P*"	3	""	"61614.40"	""	
"1P*"	3	""	"61616.88"	""	
"1P*"	3	""	"61619.23"	""	
"1P*"	3	""	"61621.43"	""	
"1P*"	3	""	"61623.49"	""	
"1P*"	3	""	"61625.45"	""	
"1P*"	3	""	"61627.17"	""	
"1P*"	3	""	"61628.94"	""	
"1P*"	3	""	"61630.60"	""	
"1P*"	3	""	"61631.99"	""	
"1P*"	3	""	"61633.43"	""	
"1P*"	3	""	"61634.87"	""	
"1P*"	3	""	"61636.20"	""	
"1P*"	3	""	"61637.27"	""	
"1P*"	3	""	"61638.48"	""	
"Limit"		""	"61671.05"	""	
"1S"	1	""	"68275"	""	
"3P*"	3	""	"76940"	""	
"1P*"	3	""	"78660"	""	
"1D*"	5	""	"80693.01"	""	
"3D*"	3	""	"83511.25"	""	
"3D*"	5	""	"83520.47"	""	
"3D*"	7	""	"83536.84"	""	
"1P*"	3	""	"85925"	""	
"3P*"	3	""	"87580"	""	
"1P*"	3	""	"88060"	""	
"1P*"	3	""	"90777"	""	
"3P*"	3	""	"91620"	""	
"1P*"	3	""	"91840"	""	
"1P*"	3	""	"93152"	""	
"3P*"	3	""	"93540"	""	
"1P*"	3	""	"93680"	""	
"1P*"	3	""	"94420"	""	
"3P*"	3	""	"94650"	""	
"1P*"	3	""	"94770"	""	
"1P*"	3	""	"95223"	""	
"3P*"	3	""	"95352"	""	
"1P*"	3	""	"95440"	""	
"1P*"	3	""	"95736"	""	
"1P*"	3	""	"95895"	""	
"1P*"	3	""	"96089"	""	
"1P*"	3	""	"96200"	""	
"1P*"	3	""	"96346"	""	
"1P*"	3	""	"96436"	""	
"Limit"		""	"97340.33"	""	
"Limit"		""	"97431.90"	""	
"1P*"	3	""	"114360"	""	
"1P*"	3	""	"122940"	""	
"1P*"	3	""	"125930"	""	
"1P*"	3	""	"127720"	""	
"Limit"		""	"131475.97"	""	
"(3/2,1/2)*"	3	""	"442000"	""	
"3P*"	3	""	"443300"	""	
"(1/2,1/2)*"	3	""	"444130"	""	
"2[3/2]*"	3	""	"447570"	""	
"2[1/2]*"	3	""	"447570"	""	
"1P*"	3	""	"449070"	""	
"2[3/2]*"	3	""	"450370"	""	
"(3/2,1/2)*"	3	""	"453910"	""	
"2[3/2]*?"	3	""	"454430"	""	
"2[1/2]*"	3	""	"454620"	"?"	
"(1/2,1/2)*"	3	""	"456060"	""	
"2[3/2]*"	3	""	"456540"	""	
"(3/2,1/2)*"	3	""	"457940"	""	
"2[3/2]*"	3	""	"458250"	""	
"2[1/2]*"	3	""	"458250"	""	
"(1/2,1/2)*"	3	""	"460050"	""	
"2[3/2]*"	3	""	"460380"	""	
"2[1/2]*"	3	""	"460380"	""	
"2[3/2]*"	3	""	"460380"	""	
"2[3/2]*"	3	""	"461480"	""	
"2[1/2]*"	3	""	"461480"	""	
"(1/2,1/2)*"	3	""	"462170"	""	
"2[3/2]*"	3	""	"462530"	""	
"Limit"		""	"464130"	""	
"(1/2,1/2)*?"	3	""	"464150"	""	
"2[3/2]*?"	3	""	"464470"	""	
"Limit"		""	"466300"	""	
"1P*"	3	""	"468340"	""	
"1P*"	3	""	"476190"	""	
"*"	3	""	"489380"	""	
"*"	3	""	"491910"	""	
"*"	3	""	"493220"	""	
"*"	3	""	"494020"	""	
"*"	3	""	"495340"	""	
"*"	3	""	"498930"	""	
"*"	3	""	"501860"	""	
"*"	3	""	"503450"	""	
"*"	3	""	"504390"	""	
"*"	3	""	"504920"	""	
"*"	3	""	"508130"	""	
"*"	3	""	"513720"	""	
"*"	3	""	"515280"	""	
"*"	3	""	"526510"	""	
"*"	3	""	"529800"	""	
